UF;Mesorregiao;cd_div;CNAE;Intensivo em mao de obra;Quantidade de empregos do setor na mesorregião (1);Quantidade de empregos totais na mesorregião (2);Participacao de empregos do setor na mesorregião (PSM = 1/2);Quantidade de empregos do setor na UF (3);Múltiplo de emprego regional (MER = PSM*1/3);Quantidade total de empresas na mesorregião (4);Polo Regional;Quantidade de empregos totais na UF (5);Participacao de empregos do setor na UF (PSE = 3/5);Gini locacional estadual (GLE);Quoeficiente locacional estadual (QLE = (1-GLE)*PSM/PSE);Quantidade de micro, pequenas e medias empresas na mesorregião;Quantidade de grandes empresas na mesorregião;Quantidade de empresas totais na UF (6);Participacao de empresas na UF (PEE = 4/6);Polo Estadual;Quantidade de empregos do setor no Brasil (7);Múltiplo de emprego nacional (MEN = PSM*1/7);Quantidade de empregos totais no Brasil (8);Participaçcao de empregos do setor no Brasil (PSP = 7/8);Gini locacional nacional (GLN);Quoeficiente locacional nacional (QLE = (1-GLN)*PSM/PSP);Quantidade de empresas totais no Brasil (9);Participacao de empresas no pais (PEP = 4/9);Polo Nacional;Valor exportado (10);Valor bruto da producao industrial (VBPI);Índice de insercao internacional (10/VBPI);Participação do setor nas exportações da UF;Participação da UF nas exportações nacionais do setor;Polo Internacional;source;Categoria_CNAE;arranjo_setorial;sk;polo;municipio;longitude;latitude
Acre;Vale do Acre;7;Extração De Minerais Metálicos;Não;1;14889;0,0001;1;0,0001;1;Não;16372;0,0001;0,0357895600000002;0,9642;1;0;1;1,0;Não;102146;0,0;13620921;0,0;0,5145460300000002;0,0065;655;0,0015;Não;;;;;;Não;Outros;CNAE Divisão;Minerais Metálicos;Acre_Vale do Acre_Minerais Metálicos;;;;
Acre;Vale do Acre;8;Extração De Minerais Não-Metálicos;Não;15;14889;0,001;25;0,0006;6;Não;16372;0,0015;0,0357895600000002;0,6428;6;0;8;0,75;Não;87971;0,0;13620921;0,0002;0,5145460300000002;0,0751;6646;0,0009;Não;82777,0;477161,4;0,0;0,0002198335862995;9,7843373764e-06;Não;Outros;CNAE Divisão;Minerais Não-metálicos;Acre_Vale do Acre_Minerais Não-metálicos;Estadual;rio branco;-67,79136049900949;-9,941676858109753
Acre;Vale do Juruá;8;Extração De Minerais Não-Metálicos;Não;10;1483;0,0067;25;0,0027;2;Não;16372;0,0015;0,3606720700000001;2,8557;2;0;8;0,25;Não;87971;0,0;13620921;0,0001;0,59551277;0,4196;6646;0,0003;Não;;318107,6;;0,0002198335862995;9,7843373764e-06;Não;Outros;CNAE Divisão;Minerais Não-metálicos;Acre_Vale do Juruá_Minerais Não-metálicos;Estadual;cruzeiro do sul;-72,44941563151895;-8,184929311311613
Acre;Vale do Acre;10;Fabricação De Produtos Alimentícios;Sim;2606;14889;0,175;2857;0,1597;142;Sim;16372;0,1745;0,0357895600000002;0,967;142;0;168;0,8452;Sim;1670372;0,0003;13620921;0,0016;0,5145460300000002;0,6927;51362;0,0028;Não;20507479,0;248012667,9118;0,0;0,5158643285629936;0,0004678147491216;Não;Outros;CNAE Divisão;Alimentos e Bebidas;Acre_Vale do Acre_Alimentos e Bebidas;Estadual;rio branco;-68,0567814302029;-10,25768025194767
Acre;Vale do Juruá;10;Fabricação De Produtos Alimentícios;Sim;251;1483;0,1693;2857;0,0149;26;Sim;16372;0,1745;0,3606720700000001;0,6203;26;0;168;0,1548;Não;1670372;0,0;13620921;0,0002;0,59551277;0,5584;51362;0,0005;Não;;23887636,0882;;0,5158643285629936;0,0004678147491216;Não;Outros;CNAE Divisão;Alimentos e Bebidas;Acre_Vale do Juruá_Alimentos e Bebidas;Regional;cruzeiro do sul;-72,31296369519903;-7,927295753767499
Acre;Vale do Acre;11;Fabricação De Bebidas;Sim;170;14889;0,0114;249;0,0078;13;Sim;16372;0,0152;0,0357895600000002;0,7232;13;0;16;0,8125;Não;122957;0,0;13620921;0,0014;0,5145460300000002;0,6131;3498;0,0037;Não;151876,0;1943499,3976;0,0;0,0005735288319147;0,0001022583631807;Não;Outros;CNAE Divisão;Alimentos e Bebidas;Acre_Vale do Acre_Alimentos e Bebidas;Estadual;rio branco;-68,0567814302029;-10,25768025194767
Acre;Vale do Juruá;11;Fabricação De Bebidas;Sim;79;1483;0,0533;249;0,0169;3;Sim;16372;0,0152;0,3606720700000001;2,2419;3;0;16;0,1875;Não;122957;0,0;13620921;0,0006;0,59551277;2,3883;3498;0,0009;Não;8212,0;903155,6024;0,0;0,0005735288319147;0,0001022583631807;Não;Outros;CNAE Divisão;Alimentos e Bebidas;Acre_Vale do Juruá_Alimentos e Bebidas;Regional;cruzeiro do sul;-72,31296369519903;-7,927295753767499
Acre;Vale do Acre;13;Fabricação De Produtos Têxteis;Sim;12;14889;0,0008;12;0,0008;5;Não;16372;0,0007;0,0357895600000002;1,102;5;0;5;1,0;Não;266620;0,0;13620921;0,0;0,5145460300000002;0,0199;9859;0,0005;Não;34184,0;;;0,000677568589127;3,92044193509e-05;Não;Outros;CNAE Divisão;Têxtil, Vestuário e Calçados;Acre_Vale do Acre_Têxtil, Vestuário e Calçados;Regional;rio branco;-68,42594899312127;-10,07858524864572
Acre;Vale do Acre;14;Confecção De Artigos Do Vestuário E Acessórios;Sim;115;14889;0,0077;126;0,007;17;Sim;16372;0,0077;0,0357895600000002;0,9642;17;0;23;0,7391;Não;523039;0,0;13620921;0,0002;0,5145460300000002;0,0973;41691;0,0004;Não;157,0;1642532,2222;;;;Não;Outros;CNAE Divisão;Têxtil, Vestuário e Calçados;Acre_Vale do Acre_Têxtil, Vestuário e Calçados;Regional;rio branco;-68,42594899312127;-10,07858524864572
Acre;Vale do Juruá;14;Confecção De Artigos Do Vestuário E Acessórios;Sim;11;1483;0,0074;126;0,0006;6;Não;16372;0,0077;0,3606720700000001;0,6144;6;0;23;0,2609;Não;523039;0,0;13620921;0,0;0,59551277;0,0779;41691;0,0001;Não;;157111,7778;;;;Não;Outros;CNAE Divisão;Têxtil, Vestuário e Calçados;Acre_Vale do Juruá_Têxtil, Vestuário e Calçados;;;;
